카테고리,지점명,주소,위도,경도,세부정보
숙소,브라운스위트 부산역,부산광역시 동구 충장대로 160 협성마리나G7 STORE B 2층,35.1152,129.0410,"KTX부산역 10번 출구 연결통로 도보 5분, 오션뷰, 레지던스 타입 숙박시설"
맛집,안목 부산역점,부산 동구 중앙대로214번길 3-10 1층,35.1147,129.0427,"미쉐린 부산 선정 돼지국밥 맛집, 영업시간: 11:00-21:00 (LO 20:30), 전화: 0507-1385-4515, 부산역 도보 5분"
맛집,본전돼지국밥,부산광역시 동구 중앙대로214번길 3-8,35.1148,129.0428,"45년 전통 돼지국밥 전문점, 영업시간: 09:00-20:30, 전화: 051-441-2946, 부산역 도보 4분"
맛집,초량밀면 본점,부산 동구 중앙대로 225,35.1153,129.0435,"부산 대표 밀면 맛집, 영업시간: 10:00-22:00, 전화: 051-462-1575, 부산역 도보 5분, 주차 불가"
맛집,하이디라오 부산역점,부산광역시 동구 중앙대로 175,35.1150,129.0420,"중국 훠궈 전문점, 영업시간: 10:00-익일 03:00, 전화: 051-466-8880, 부산역 도보 1분, 무료 주차 가능"
관광지,부산 차이나타운(상해거리),부산광역시 동구 중앙대로179번길 1,35.1168,129.0419,"2007년 국내 유일의 차이나타운특구 지정, 상해문 조형물, 중국 문화와 먹거리, 지하철 1호선 부산역 1번/5번 출구, 버스 2/26/27/41/59/67/87/167번"
관광지,용두산공원,부산광역시 중구 용두산길 37-55,35.0988,129.0361,"부산타워(120m) 위치, 부산 시내 전망, 전화: 051-860-7820, 부산시설공단 관리"
관광지,영도대교,부산광역시 영도구 대교동1가,35.0964,129.0353,"부산 중구-영도구 연결 교량, 도보 가능, 지하철 1호선 남포역 6/8번 출구 도보 4분, 버스 6/7/8/9/17/30/71/82/85/88/113/186/190/508번, 전화: 051-780-0062"
관광지,자갈치시장,부산광역시 중구 자갈치해안로 52,35.0967,129.0306,"대한민국 최대 수산시장, 지하철 1호선 남포역 2번 출구/자갈치역 10번 출구 도보 6분, 버스 27/41/5-1/61/113/30/6/7/71/86번"
관광지,국제시장,부산광역시 중구 신창로4가 일원,35.0993,129.0300,"전통시장, 다양한 물품과 먹거리, 영업시간: 09:30-19:30 (첫째/셋째 일요일 휴무), 전화: 051-245-7389, 지하철 1호선 자갈치역 7번 출구 도보 4분"
관광지,BIFF광장,부산광역시 중구 비프광장로 4,35.0988,129.0289,"부산국제영화제 중심무대, 남포동 먹거리 거리, 지하철 1호선 자갈치역 하차"
관광지,감천문화마을,부산광역시 사하구 감내2로 203,35.0975,129.0104,"연간 185만명 방문 관광명소, 예술마을, 영업시간: 3-10월 09:00-18:00/11-2월 09:00-17:00, 입장료 무료, 전화: 051-220-4000"
관광지,해운대해수욕장,부산광역시 해운대구 해운대해변로 264,35.1587,129.1604,"백사장 길이 1.5km/너비 30-50m, 지하철 2호선 해운대역 5번 출구 도보 15분, 버스 139/307/1003번"
관광지,송정해수욕장,부산광역시 해운대구 송정해변로 62,35.1785,129.1997,"백사장 길이 1.2km/너비 57m, 서핑 명소, 전화: 051-749-5800"
아이체험,씨라이프 부산 아쿠아리움,부산광역시 해운대구 해운대해변로 266,35.1587,129.1603,"해운대 아쿠아리움, 영업시간: 평일 10:00-19:00/주말 10:00-20:00 (입장마감 1시간 전), 전화: 051-740-1700, 지하철 2호선 해운대역 3/5번 출구 도보 10분, 4세·7세 아이들 추천"
아이체험,부산 어린이대공원,부산광역시 부산진구 새싹로 295,35.1678,129.0596,"백양산 기슭 공원, 동물원·놀이기구·산책로, 영업시간: 09:00-18:00, 전화: 051-860-7848, 입장료 무료, 4세·7세 아이들 추천"
아이체험,롯데월드 어드벤처 부산,부산광역시 기장군 기장읍 동부산관광로 42,35.1889,129.2123,"테마파크, 동해선 오시리아역 1번 출구 도보 10분, 버스 139/183/185/1001번, 4세·7세 아이들에게 인기, 키즈존·놀이기구 다양"
아이체험,국립부산과학관,부산광역시 기장군 기장읍 동부산관광6로 59,35.1892,129.2085,"과학체험 박물관, 영업시간: 09:30-17:30 (입장마감 16:30), 월요일·1월1일·명절 당일 휴관, 동해선 오시리아역 1번 출구 → 버스 185번, 4세·7세 아이들 과학체험 추천"
아이체험,태종대 유원지,부산광역시 영도구 전망로 24,35.0514,129.0831,"등대·전망대·다누비열차, 영업시간: 하절기 04:00-24:00/동절기 05:00-24:00, 전화: 051-860-7866, 자연경관·가족나들이 추천"
아이체험,키위키즈랜드,부산광역시 기장군 장안읍 좌천리 497-9,35.2867,129.2156,"부산 최대규모 키즈카페, 트램폴린·정글짐·범퍼카·실내썰매, 영업시간: 평일 11:00-19:00/주말 10:00-19:00, 추가요금 없음, 4세·7세 아이들 실내놀이 추천"
